"","employees","current_salaries","future_salaries","change","got_raise"
"1","Employee 1",40632.5962929986,41131.5438372549,498.947544256225,TRUE
"2","Employee 2",46895.3928118572,45131.8515418097,-1763.54127004743,FALSE
"3","Employee 3",48240.3545035049,47829.0225437377,-411.331959767267,FALSE
"4","Employee 4",43447.2534665838,47641.2609079853,4194.00744140148,TRUE
"5","Employee 5",49533.4851765074,46081.2991752755,-3452.18600123189,FALSE
"6","Employee 6",44354.76455139,49816.2494366989,5461.48488530889,TRUE
"7","Employee 7",47875.2789343707,50186.5637197625,2311.28478539176,TRUE
"8","Employee 8",46296.5272297151,51614.1572373454,5317.63000763021,TRUE
"9","Employee 9",44264.0433367342,53675.4294391721,9411.38610243797,TRUE
"10","Employee 10",41127.3180437274,43164.2655900214,2036.94754629396,TRUE
"11","Employee 11",47068.1098173372,56608.8290524203,9540.71923508309,TRUE
"12","Employee 12",48231.9250376895,53952.5576448068,5720.6326071173,TRUE
"13","Employee 13",49037.8361730836,44193.5530572664,-4844.28311581723,FALSE
"14","Employee 14",49392.6998507231,57961.6161435843,8568.9162928611,TRUE
"15","Employee 15",41269.2341441289,46550.3994608298,5281.16531670094,TRUE
"16","Employee 16",43598.509056028,43340.9951720387,-257.513883989304,FALSE
"17","Employee 17",44097.6493083872,50348.3257628977,6250.67645451054,TRUE
"18","Employee 18",44301.0139325634,45799.6960286982,1498.68209613487,TRUE
"19","Employee 19",40351.0141908191,49878.6548909266,9527.64070010744,TRUE
"20","Employee 20",49849.2175713181,56900.1451146323,7050.92754331417,TRUE
"21","Employee 21",44169.1024904139,39442.6117232069,-4726.490767207,FALSE
"22","Employee 22",41124.1808929481,45890.683500329,4766.50260738097,TRUE
"23","Employee 23",41775.431712158,49550.5075948313,7775.07588267326,TRUE
"24","Employee 24",49970.9464842454,57795.3126619104,7824.36617766507,TRUE
"25","Employee 25",45200.8375898004,48747.6201553363,3546.78256553598,TRUE
"26","Employee 26",40872.5343109109,49689.2546769232,8816.72036601231,TRUE
"27","Employee 27",40622.1042573452,41888.4275958408,1266.32333849557,TRUE
"28","Employee 28",42853.3185669221,46773.5688108951,3920.25024397299,TRUE
"29","Employee 29",41221.9951627776,49251.1276726145,8029.13250983693,TRUE
"30","Employee 30",41045.6970497034,46995.7330392208,5950.03598951735,TRUE
"31","Employee 31",45472.291468177,49781.1525769066,4308.86110872962,TRUE
"32","Employee 32",49503.2671117224,45142.4936647527,-4360.77344696969,FALSE
"33","Employee 33",44004.9473568797,41721.8930425588,-2283.05431432091,FALSE
